Longitude,Latitude,Year,Month,Avg Capacity (1000 m3/d),Avg Throughput (1000 m3/d),Avg Throughput (GJ/d)
-112.018,53.6374,2013,9,96020.0,73125.58081690973,2764146.954879188
-112.018,53.6374,2013,10,96020.0,75988.63737378908,2872370.4927292266
-112.018,53.6374,2013,11,124349.0,87776.76024971715,3317961.537439308
-112.018,53.6374,2013,12,124349.0,96452.60425914415,3645908.440995649
-112.018,53.6374,2014,1,124349.0,93546.76346755549,3536067.659073597
-112.018,53.6374,2014,2,124349.0,98224.56608108715,3712888.597865094
-112.018,53.6374,2014,3,124349.0,92620.15290333169,3501041.7797459373
-112.018,53.6374,2014,4,98784.0,82125.21262586604,3104333.037257736
-112.018,53.6374,2014,5,98784.0,74582.03348965374,2819200.865908911
-112.018,53.6374,2014,6,98784.0,68815.6859108242,2601232.927429155
-112.018,53.6374,2014,7,98784.0,72053.92096433227,2723638.2124517593
-112.018,53.6374,2014,8,98784.0,71886.13537475275,2717295.9171656533
-112.018,53.6374,2014,9,98784.0,73432.81730292169,2775760.494050439
-112.018,53.6374,2014,10,98784.0,79212.45131908884,2994230.659861558
-112.018,53.6374,2014,11,128597.0,92798.37278654284,3507778.491331319
-112.018,53.6374,2014,12,128597.0,96639.06708860258,3652956.7359491773
-112.018,53.6374,2015,1,128597.0,97647.30354586459,3691068.074033681
-112.018,53.6374,2015,2,128597.0,100100.57618703666,3783801.779869985
-112.018,53.6374,2015,3,128597.0,91194.01798322063,3447133.87976574
-112.018,53.6374,2015,4,111328.0,80452.1804718197,3041092.4218347846
-112.018,53.6374,2015,5,111328.0,73253.90710807306,2768997.6886851615
-112.018,53.6374,2015,6,111328.0,73302.63815421767,2770839.722229427
-112.018,53.6374,2015,7,111328.0,81580.23413524179,3083732.85031214
-112.018,53.6374,2015,8,111328.0,81479.48407967223,3079924.49821161
-112.018,53.6374,2015,9,111328.0,82235.48809149422,3108501.449858481
-112.018,53.6374,2015,10,111328.0,84683.94973991178,3201053.300168665
-112.018,53.6374,2015,11,140643.0,96471.42094864364,3646619.7118587294
-112.018,53.6374,2015,12,140643.0,106433.99577869903,4023205.0404348234
-112.018,53.6374,2016,1,140643.0,106448.89980910445,4023768.412784148
-112.018,53.6374,2016,2,140643.0,100167.85976563719,3786345.0991410855
-112.018,53.6374,2016,3,140643.0,97210.50855157133,3674557.2232493954
-112.018,53.6374,2016,4,112426.0,86547.22202878451,3271484.9926880547
-112.018,53.6374,2016,5,112426.0,66413.73685828413,2510439.25324314
-112.018,53.6374,2016,6,112426.0,73173.52201845481,2765959.132297592
-112.018,53.6374,2016,7,112426.0,81775.36646045484,3091108.8522051927
-112.018,53.6374,2016,8,112426.0,86089.35683153241,3254177.688231925
-112.018,53.6374,2016,9,112426.0,86000.18121567374,3250806.8499524673
-112.018,53.6374,2016,10,112426.0,96543.38082394951,3649339.7951452914
-112.018,53.6374,2016,11,141577.0,102697.05535122093,3881948.6922761505
-112.018,53.6374,2016,12,141577.0,112631.56895883173,4257473.306643839
-112.018,53.6374,2017,1,141577.0,111977.5525162336,4232751.48511363
-112.018,53.6374,2017,2,141577.0,110602.98430309737,4180792.80665708
-112.018,53.6374,2017,3,141577.0,107971.26562805999,4081313.8407406677
-112.018,53.6374,2017,4,127728.0,94608.81735431882,3576213.2959932513
-112.018,53.6374,2017,5,127728.0,83188.77076527172,3144535.534927271
-112.018,53.6374,2017,6,127728.0,85388.29007856533,3227677.3649697695
-112.018,53.6374,2017,7,127728.0,90960.36504027947,3438301.7985225637
-112.018,53.6374,2017,8,127728.0,93226.73655888824,3523970.641925975
-112.018,53.6374,2017,9,127728.0,90615.37541254507,3425261.190594203
-112.018,53.6374,2017,10,127728.0,98418.9263769513,3720235.417048759
-112.018,53.6374,2017,11,145702.0,116316.08904058096,4305536.359585182
-112.018,53.6374,2017,12,145702.0,119846.74115142316,4305536.359585182
-112.018,53.6374,2018,1,145702.0,122592.63575205617,4634001.631427723
-112.018,53.6374,2018,2,145702.0,125215.9957237535,4733164.638357882
-112.018,53.6374,2018,3,145702.0,118366.06009576323,4474237.071619849
-112.018,53.6374,2018,4,127529.0,105091.90774437181,3972474.1127372542
-112.018,53.6374,2018,5,127529.0,96423.79377552349,3644819.4047147874
-112.018,53.6374,2018,6,127529.0,94066.99177886405,3555732.2892410606
-112.018,53.6374,2018,7,127529.0,99290.72140638491,3753189.269161349
-112.018,53.6374,2018,8,127529.0,99946.3062089541,3777970.3746984648
-112.018,53.6374,2018,9,127529.0,104840.89717676329,3962985.9132816517
-112.018,53.6374,2018,10,127529.0,111880.29753859813,4229075.246959008
-112.018,53.6374,2018,11,152386.0,119312.54637154962,4510014.252844575
-112.018,53.6374,2018,12,152386.0,121364.79585391284,4587589.283277906
-112.018,53.6374,2019,1,152386.0,125353.50006972128,4738362.302635464
-112.018,53.6374,2019,2,152386.0,133115.3560046285,5031760.456974958
-112.018,53.6374,2019,3,152386.0,118878.40059544634,4493603.542507871
-112.018,53.6374,2019,4,130957.0,108770.31662944845,4111517.9685931513
-112.018,53.6374,2019,5,130957.0,97142.03582033959,3671968.954008836
-112.018,53.6374,2019,6,130957.0,98473.2409082221,3722288.5063307956
-112.018,53.6374,2019,7,130957.0,98454.88537316235,3721594.6671055364
-112.018,53.6374,2019,8,130957.0,100084.97414666053,3783212.022743768
-112.018,53.6374,2019,9,130957.0,97775.98428631997,3695932.206022895
-112.018,53.6374,2019,10,130957.0,110032.31703401747,4159221.5838858606
-112.018,53.6374,2019,11,145195.0,118615.58403181964,4483669.076402782
-112.018,53.6374,2019,12,145195.0,121884.00750063542,4607215.483524019
-112.018,53.6374,2020,1,145195.0,127523.22742911804,4820377.996820661
-112.018,53.6374,2020,2,145195.0,123065.85314971027,4651889.2490590485
-112.018,53.6374,2020,3,145195.0,117821.22905072053,4453642.458117236
-112.018,53.6374,2020,4,123664.0,104982.23266152515,3968328.39460565
-112.018,53.6374,2020,5,123664.0,93709.03136079766,3542201.3854381507
-112.018,53.6374,2020,6,123664.0,92451.1375672907,3494653.0000435878
-112.018,53.6374,2020,7,123664.0,91625.1028647559,3463428.888287773
-112.018,53.6374,2020,8,123664.0,90946.50748642512,3437777.9829868693
-112.018,53.6374,2020,9,123664.0,96909.96393171664,3663196.636618889
-112.018,53.6374,2020,10,123664.0,109908.90373557233,4154556.561204633
-112.018,53.6374,2020,11,153518.0,120540.34794887963,4556425.15246765
-112.018,53.6374,2020,12,153518.0,125699.34208866446,4751435.130951516
-112.018,53.6374,2021,1,153518.0,128144.68278936323,4843869.009437929
-112.018,53.6374,2021,2,153518.0,134743.4632199642,5093302.909714647
-112.018,53.6374,2021,3,153518.0,120461.50891684958,4553445.037056914
-112.018,53.6374,2021,4,133232.0,108825.30873418179,4113596.670152071
-112.018,53.6374,2021,5,133232.0,105024.41130027184,3969922.7471502754
-112.018,53.6374,2021,6,133232.0,103486.78109500738,3911800.325391278
